Time(sec), Queue Density, Dynamic Density
102.600000, 0.986360, 0.714870
102.800000, 0.984960, 0.720890
103.000000, 0.985620, 0.731160
103.200000, 0.985950, 0.726120
103.400000, 0.984490, 0.726770
103.600000, 0.985270, 0.730940
103.800000, 0.982180, 0.734810
104.000000, 0.976100, 0.731540
104.200000, 0.979480, 0.731470
104.400000, 0.981540, 0.726180
104.600000, 0.981940, 0.722720
104.800000, 0.980030, 0.732480
105.000000, 0.981220, 0.734200
105.200000, 0.980620, 0.729380
105.400000, 0.984190, 0.730210
105.600000, 0.983320, 0.722780
105.800000, 0.981990, 0.705550
106.000000, 0.982200, 0.693620
106.200000, 0.980560, 0.690030
106.400000, 0.979990, 0.684200
106.600000, 0.980610, 0.685700
106.800000, 0.980430, 0.716420
107.000000, 0.975740, 0.753110
107.200000, 0.976720, 0.749820
107.400000, 0.979050, 0.736170
107.600000, 0.980450, 0.747400
107.800000, 0.980580, 0.747540
108.000000, 0.980860, 0.733530
108.200000, 0.983690, 0.738710
108.400000, 0.985340, 0.746500
108.600000, 0.985480, 0.749970
108.800000, 0.986020, 0.737210
109.000000, 0.986150, 0.716060
109.200000, 0.986090, 0.690010
109.400000, 0.984900, 0.681230
109.600000, 0.985820, 0.675310
109.800000, 0.985880, 0.659400
110.000000, 0.984060, 0.652970
110.200000, 0.982270, 0.653730
110.400000, 0.980390, 0.653650
110.600000, 0.980580, 0.638000
110.800000, 0.979370, 0.634650
111.000000, 0.981250, 0.639620
111.200000, 0.981600, 0.642420
111.400000, 0.981300, 0.636920
111.600000, 0.982840, 0.611480
111.800000, 0.982690, 0.598210
112.000000, 0.980880, 0.603310
112.200000, 0.979730, 0.611840
112.400000, 0.973780, 0.598770
112.600000, 0.973590, 0.591920
112.800000, 0.972270, 0.583700
113.000000, 0.974540, 0.589180
113.200000, 0.976680, 0.617200
113.400000, 0.974610, 0.629330
113.600000, 0.972060, 0.621860
113.800000, 0.972740, 0.608840
114.000000, 0.970640, 0.605470
114.200000, 0.970980, 0.599440
114.400000, 0.968740, 0.595670
114.600000, 0.966800, 0.597730
114.800000, 0.965000, 0.591830
115.000000, 0.963310, 0.582260
115.200000, 0.959030, 0.583090
115.400000, 0.952990, 0.576370
115.600000, 0.948440, 0.580670
115.800000, 0.954730, 0.582460
116.000000, 0.951890, 0.576860
116.200000, 0.912760, 0.553290
116.400000, 0.842240, 0.545680
116.600000, 0.738170, 0.516700
116.800000, 0.716430, 0.506870
117.000000, 0.677040, 0.478550
117.200000, 0.664110, 0.486260
117.400000, 0.658170, 0.485700
117.600000, 0.648210, 0.474250
117.800000, 0.663420, 0.479290
118.000000, 0.672020, 0.496940
118.200000, 0.692640, 0.512850
118.400000, 0.712410, 0.521320
118.600000, 0.720220, 0.535080
118.800000, 0.717080, 0.534610
119.000000, 0.699380, 0.515320
119.200000, 0.674000, 0.497450
119.400000, 0.635000, 0.479140
119.600000, 0.604010, 0.455370
119.800000, 0.583820, 0.432930
120.000000, 0.581690, 0.428900
120.200000, 0.585050, 0.427880
120.400000, 0.584820, 0.435280
120.600000, 0.586800, 0.455600
120.800000, 0.572100, 0.429050
121.000000, 0.558530, 0.412280
121.200000, 0.539310, 0.406780
121.400000, 0.535940, 0.403650
121.600000, 0.548010, 0.396350
121.800000, 0.558730, 0.395590
122.000000, 0.557850, 0.388720
122.200000, 0.548260, 0.372830
122.400000, 0.517250, 0.340980
122.600000, 0.511160, 0.328000
122.800000, 0.497880, 0.310080
123.000000, 0.477550, 0.300580
123.200000, 0.459540, 0.289030
123.400000, 0.444770, 0.280170
123.600000, 0.425180, 0.267040
123.800000, 0.422250, 0.269160
124.000000, 0.427790, 0.276130
124.200000, 0.407690, 0.272180
124.400000, 0.387200, 0.256750
124.600000, 0.400840, 0.282730
124.800000, 0.416410, 0.312740
125.000000, 0.429750, 0.329430
125.200000, 0.424730, 0.328910
125.400000, 0.428020, 0.336360
125.600000, 0.405170, 0.314990
125.800000, 0.414070, 0.295690
126.000000, 0.446050, 0.291280
126.200000, 0.473780, 0.308220
126.400000, 0.498550, 0.322650
126.600000, 0.512810, 0.328110
126.800000, 0.596960, 0.354690
127.000000, 0.665990, 0.405400
127.200000, 0.723310, 0.427670
127.400000, 0.737540, 0.430730
127.600000, 0.723910, 0.426760
127.800000, 0.692740, 0.415420
128.000000, 0.670450, 0.405250
128.200000, 0.649430, 0.402380
128.400000, 0.553690, 0.361560
128.600000, 0.521760, 0.356610
128.800000, 0.489910, 0.347650
129.000000, 0.421560, 0.310650
129.200000, 0.398380, 0.286790
129.400000, 0.375420, 0.267110
129.600000, 0.367920, 0.262010
129.800000, 0.348490, 0.245120
130.000000, 0.326790, 0.224050
130.200000, 0.311880, 0.196680
130.400000, 0.294510, 0.172590
130.600000, 0.280500, 0.151960
130.800000, 0.248070, 0.124470
131.000000, 0.229980, 0.108930
131.200000, 0.207420, 0.093760
131.400000, 0.192780, 0.076890
131.600000, 0.166480, 0.061580
131.800000, 0.145780, 0.054410
132.000000, 0.131740, 0.051230
132.200000, 0.121800, 0.048730
132.400000, 0.117380, 0.048100
132.600000, 0.116920, 0.046670
132.800000, 0.117450, 0.046090
133.000000, 0.118410, 0.046070
133.200000, 0.120270, 0.045350
133.400000, 0.127800, 0.049140
133.600000, 0.157520, 0.068890
133.800000, 0.204850, 0.102350
134.000000, 0.265580, 0.138840
134.200000, 0.337530, 0.179950
134.400000, 0.416250, 0.227750
134.600000, 0.514190, 0.290960
134.800000, 0.572450, 0.332480
135.000000, 0.623700, 0.357400
135.200000, 0.668140, 0.368830
135.400000, 0.710150, 0.389490
135.600000, 0.725080, 0.399250
135.800000, 0.761290, 0.397550
136.000000, 0.641630, 0.359170
136.200000, 0.536280, 0.303480
136.400000, 0.455370, 0.282020
136.600000, 0.415780, 0.275800
136.800000, 0.367730, 0.250480
137.000000, 0.317490, 0.209390
137.200000, 0.303820, 0.183380
137.400000, 0.292260, 0.159280
137.600000, 0.287430, 0.145420
137.800000, 0.275540, 0.123950
138.000000, 0.256390, 0.105500
138.200000, 0.229110, 0.086870
138.400000, 0.204060, 0.071690
138.600000, 0.166790, 0.061020
138.800000, 0.141290, 0.049760
139.000000, 0.131100, 0.044910
139.200000, 0.133430, 0.042580
139.400000, 0.133390, 0.040480
139.600000, 0.134100, 0.038820
139.800000, 0.135050, 0.038730
140.000000, 0.135810, 0.037800
140.200000, 0.141840, 0.041930
140.400000, 0.158770, 0.050300
140.600000, 0.180870, 0.063670
140.800000, 0.217780, 0.081610
141.000000, 0.253840, 0.102220
141.200000, 0.325310, 0.126770
141.400000, 0.506370, 0.174930
141.600000, 0.738250, 0.244230
141.800000, 0.852130, 0.280600
142.000000, 0.915390, 0.310190
142.200000, 0.933650, 0.310910
142.400000, 0.954740, 0.333920
142.600000, 0.957020, 0.350690
142.800000, 0.957940, 0.361270
143.000000, 0.956380, 0.364030
143.200000, 0.954890, 0.364390
143.400000, 0.954530, 0.361880
143.600000, 0.926860, 0.377580
143.800000, 0.792590, 0.382010
144.000000, 0.665800, 0.368930
144.200000, 0.560240, 0.347280
144.400000, 0.539640, 0.338530
144.600000, 0.524970, 0.327350
144.800000, 0.495280, 0.309190
145.000000, 0.460110, 0.280380
145.200000, 0.348640, 0.199550
145.400000, 0.290160, 0.142430
145.600000, 0.275340, 0.131420
145.800000, 0.251790, 0.108400
146.000000, 0.241190, 0.091370
146.200000, 0.220320, 0.073430
146.400000, 0.194080, 0.056850
146.600000, 0.167120, 0.046150
146.800000, 0.148560, 0.034670
147.000000, 0.134460, 0.028600
147.200000, 0.125120, 0.024340
147.400000, 0.122530, 0.021020
147.600000, 0.125510, 0.016820
147.800000, 0.127310, 0.015620
148.000000, 0.127560, 0.014950
148.200000, 0.128480, 0.015440
148.400000, 0.129410, 0.015840
148.600000, 0.132110, 0.016350
148.800000, 0.133360, 0.015140
149.000000, 0.135510, 0.015780
149.200000, 0.135480, 0.016030
149.400000, 0.136960, 0.016690
149.600000, 0.135600, 0.016050
149.800000, 0.137290, 0.017450
150.000000, 0.136600, 0.017620
150.200000, 0.138890, 0.018840
150.400000, 0.140350, 0.019770
150.600000, 0.142250, 0.020240
